Turns;Number of detected malicious nodes;Number of false detections;Total monitoring costs
1;2;0;21
2;4;0;41
3;6;0;61
4;8;0;80
5;9;0;97
6;10;0;114
7;12;0;129
8;13;0;144
9;14;0;158
10;15;0;172
11;16;0;185
12;17;0;197
13;18;0;208
14;19;0;220
15;20;0;231
16;21;1;241
17;21;1;250
18;22;1;259
19;23;1;268
20;23;1;276
21;24;1;284
22;24;1;291
23;25;1;298
24;25;1;305
25;25;1;311
26;26;1;317
27;26;1;323
28;26;1;329
29;27;1;334
30;27;1;340
31;27;1;345
32;27;1;350
33;27;1;355
34;28;1;359
35;28;1;364
36;28;1;368
37;28;1;372
38;28;1;376
39;28;1;379
40;29;1;383
41;29;1;386
42;29;1;389
43;29;1;392
44;29;1;395
45;29;1;398
46;29;1;401
47;29;1;404
48;29;1;407
49;29;1;409
50;29;1;412
51;29;1;414
52;30;1;416
53;30;1;419
54;30;1;421
55;30;1;423
56;30;1;425
57;30;1;427
58;30;1;429
59;30;1;431
60;30;1;433
61;30;1;434
62;30;1;436
63;30;1;438
64;30;1;439
65;30;1;440
66;30;1;442
67;30;1;443
68;30;1;445
69;30;1;446
70;30;1;447
71;30;1;449
72;30;1;450
73;30;1;451
74;30;2;453
75;30;2;454
76;30;2;455
77;30;2;456
78;30;2;457
79;30;2;458
80;30;2;459
81;30;2;460
82;30;2;461
83;30;2;462
84;30;2;463
85;30;2;463
86;30;2;464
87;30;2;465
88;30;2;466
89;30;2;467
90;30;2;468
91;30;2;468
92;30;2;469
93;30;2;470
94;30;2;471
95;30;2;471
96;30;2;472
97;30;2;473
98;30;2;474
99;30;2;474
100;30;2;475
101;30;2;475
102;30;2;476
103;30;2;477
104;30;2;477
105;30;2;478
106;30;2;479
107;30;2;479
108;30;2;480
109;30;2;480
110;30;2;481
111;30;2;482
112;30;2;482
113;30;2;483
114;30;2;483
115;30;2;484
116;30;2;484
117;30;2;485
118;30;2;486
119;30;2;486
120;30;2;487
121;30;2;487
122;30;2;488
123;30;2;488
124;30;2;488
125;30;2;489
126;30;2;489
127;30;2;490
128;30;2;490
129;30;2;491
130;30;2;491
131;30;2;491
132;30;2;492
133;30;2;492
134;30;2;493
135;30;2;493
136;30;2;493
137;30;2;494
138;30;2;494
139;30;2;494
140;30;2;494
141;30;2;495
142;30;2;495
143;30;2;496
144;30;2;496
145;30;2;496
146;30;2;497
147;30;2;497
148;30;2;497
149;31;2;498
150;31;2;498
151;31;2;498
152;31;2;499
153;31;2;499
154;31;2;499
155;31;2;500
156;31;2;500
157;31;2;500
158;31;2;501
159;31;2;501
160;31;2;501
161;31;2;501
162;31;2;502
163;31;2;502
164;31;2;502
165;31;2;503
166;31;2;503
167;31;2;503
168;31;2;504
169;31;2;504
170;31;2;504
171;31;2;504
172;31;2;505
173;31;2;505
174;31;2;505
175;31;2;505
176;31;2;506
177;31;2;506
178;31;2;506
179;31;2;506
180;31;2;507
181;31;2;507
182;31;2;507
183;31;2;507
184;31;2;508
185;31;2;508
186;31;2;508
187;31;2;508
188;31;2;508
189;31;2;508
190;31;2;509
191;31;2;509
192;31;2;509
193;31;2;509
194;31;2;510
195;31;2;510
196;31;2;510
197;31;2;510
198;31;2;510
199;31;2;510
200;31;2;511
